Time (s),USB Avg Current (mA),USB Avg Power (mW)
1.5500,545.449,2538.5195
1.5520,562.88,2610.6375
1.5540,570.496,2641.3965
1.5560,585.256,2714.4172
1.5580,567.415,2637.3447
1.5600,577.615,2677.8232
1.5620,563.8,2611.5215
1.5640,563.762,2620.3657
1.5660,586.424,2709.2788
1.5680,541.523,2532.1616
1.5700,565.303,2627.5281
1.5720,565.999,2622.8394
1.5740,567.291,2627.6919
1.5760,587.442,2718.6816
1.5780,574.012,2658.8237
1.5800,568.111,2631.4902
1.5820,570.931,2650.262
1.5840,543.809,2541.7632
1.5860,567.8,2637.9988
1.5880,592.785,2744.5945
1.5900,571.813,2654.356
1.5920,568.011,2640.115
1.5940,566.458,2635.1626
1.5960,567.117,2637.0942
1.5980,592.499,2734.9756
1.6000,545.524,2541.0508
1.6020,566.135,2632.5278
1.6040,567.278,2636.708
1.6060,569.701,2646.8308
1.6080,569.788,2648.3745
1.6100,591.828,2740.1638
1.6120,566.023,2624.0828
1.6140,567.477,2629.6882
1.6160,549.611,2567.7827
1.6180,558.445,2597.8862
1.6200,589.567,2732.0535
1.6220,569.751,2645.9236
1.6240,570.285,2646.1223
1.6260,565.7,2632.7678
1.6280,564.533,2622.8203
1.6300,566.893,2623.5808
1.6320,586.945,2709.3381
1.6340,541.871,2532.7048
1.6360,566.023,2630.8748
1.6380,566.421,2629.3264
1.6400,565.626,2630.1609
1.6420,584.945,2702.4458
1.6440,564.471,2627.0479
1.6460,564.098,2617.4148
1.6480,565.067,2618.5205
1.6500,540.89,2525.9563
1.6520,574.087,2659.1709
1.6540,576.236,2661.0579
1.6560,566.297,2629.8833
1.6580,570.297,2643.897
1.6600,564.707,2623.6284
1.6620,564.607,2623.1641
1.6640,588.498,2711.7986
1.6660,549.475,2541.8711
1.6680,564.545,2624.0049
1.6700,575.95,2664.3447
1.6720,570.446,2649.1511
1.6740,599.618,2772.6335
1.6760,571.018,2652.9497
1.6780,568.608,2645.1643
1.6800,569.825,2640.5691
1.6820,553.5,2574.8821
1.6840,568.434,2642.0813
1.6860,590.896,2720.4851
1.6880,567.775,2633.3406
1.6900,568.943,2645.585
1.6920,566.123,2632.4719
1.6940,565.688,2632.7117
1.6960,587.964,2716.3936
1.6980,564.297,2621.7239
1.7000,552.829,2575.0774
1.7020,564.794,2622.9033
1.7040,565.999,2621.7075
1.7060,572.397,2647.9084
1.7080,583.678,2708.2656
1.7100,564.21,2625.8333
1.7120,563.576,2622.8826
1.7140,566.359,2626.7732
1.7160,541.933,2530.8271
1.7180,589.617,2732.2852
1.7200,565.315,2619.6697
1.7220,564.967,2619.187
1.7240,577.739,2677.2424
1.7260,563.787,2621.6096
1.7280,582.286,2697.1487
1.7300,570.72,2653.8479
1.7320,544.12,2541.0405
1.7340,565.551,2627.55
1.7360,567.477,2636.498
1.7380,568.943,2642.1714
1.7400,593.244,2736.0415
1.7420,566.21,2621.5525
1.7440,565.787,2628.6462
1.7460,569.341,2638.3262
1.7480,547.102,2549.4951
1.7500,588.501,2725.9365
1.7520,566.885,2624.6777
1.7540,567.369,2633.7271
1.7560,566.897,2636.071
1.7580,565.182,2626.9658
1.7600,568.127,2636.1094
1.7620,574.96,2672.4141
1.7640,543.379,2538.6667
1.7660,563.853,2624.1719
1.7680,565.133,2626.738
1.7700,566.176,2622.5273
1.7720,590.39,2728.7827
1.7740,566.648,2636.0466
1.7760,563.803,2621.6838
1.7780,564.462,2620.2327
1.7800,554.709,2588.272
1.7820,566.4,2621.2991
1.7840,570.313,2648.5334
1.7860,565.692,2630.468
1.7880,565.804,2626.4624
1.7900,564.524,2616.0042
1.7920,568.152,2637.3616
1.7940,584.687,2702.4236
1.7960,568.524,2641.3623
1.7980,540.087,2525.4468
1.8000,566.462,2624.9846
1.8020,565.419,2622.4133
1.8040,587.595,2719.3894
1.8060,567.841,2638.1892
1.8080,567.68,2638.5764
1.8100,561.319,2606.7654
1.8120,566.214,2621.5708
1.8140,541.205,2525.2625
1.8160,588.638,2723.0393
1.8180,562.338,2614.8718
1.8200,563.518,2622.6128
1.8220,562.586,2611.5244
1.8240,583.408,2707.0132
1.8260,584.402,2702.2749
1.8280,572.848,2655.7236
1.8300,546.597,2543.8623
1.8320,567.071,2634.6118
